trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.06, 'e': 1.4999980000006667}",25,0,-34.38987838642845,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.06, 'e': 1.499995500003375}",20,0,-62.90503890074871,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.06, 'e': 1.4999920000106668}",20,0,-149.41046065099573,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.06, 'e': 1.4999875000260416}",20,0,-45.6266127898077,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.06, 'e': 1.499982000054}",25,0,-94.78897181207488,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.06, 'e': 1.4999755001000414}",20,0,-89.53038535872683,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.06, 'e': 1.4999680001706663}",20,12,-27.584283759635454,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.06, 'e': 1.4999595002733743}",30,0,-137.2995535354856,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
9,False,"{'a': 0.06, 'e': 1.4999500004166653}",35,0,-79.43846163533686,"{0: 22, 1: 7, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.06, 'e': 1.4999395006100391}",20,0,-42.1139687483889,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.06, 'e': 1.4999280008639957}",25,0,-165.57322614909418,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
12,False,"{'a': 0.06, 'e': 1.499915501190035}",20,0,-97.27909472867822,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.06, 'e': 1.4999020016006561}",20,0,-148.93080775271267,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.06, 'e': 1.4998875021093592}",25,0,-154.95476663738424,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.06, 'e': 1.4998720027306434}",30,0,-143.5445065993392,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.06, 'e': 1.499855503480008}",25,0,-98.65748801963922,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.06, 'e': 1.4998380043739528}",30,0,-193.219166303546,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
18,False,"{'a': 0.06, 'e': 1.4998195054299763}",30,0,-191.2065429480988,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
19,False,"{'a': 0.06, 'e': 1.4998000066665778}",30,0,-256.09338678246706,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
20,False,"{'a': 0.06, 'e': 1.4997795081032559}",25,0,-106.96484944624598,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
21,False,"{'a': 0.06, 'e': 1.4997580097605092}",20,0,-113.80278040006138,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
22,False,"{'a': 0.06, 'e': 1.499735511659836}",20,0,-6.782172997921842,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.06, 'e': 1.4997120138237345}",20,0,-108.2615692585916,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.06, 'e': 1.4996875162757026}",20,8,-23.115841145426476,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.06, 'e': 1.4996620190402377}",25,0,-86.53262233871574,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
26,False,"{'a': 0.06, 'e': 1.499635522142837}",20,0,-98.59895134528666,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.06, 'e': 1.4996080256099975}",25,0,-197.3258129117127,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
28,False,"{'a': 0.06, 'e': 1.4995795294692156}",25,0,-171.5602190729177,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
29,False,"{'a': 0.06, 'e': 1.4995500337489875}",20,0,-90.7183698500836,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
