trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.06, 'e': 0.9801}",25,0,-137.69048878300129,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.06, 'e': 0.970299}",20,5,-108.5315318000858,"{0: 6, 1: 2, 2: 5, 3: 1, 4: 1}",1
3,False,"{'a': 0.06, 'e': 0.96059601}",30,0,-339.47583689952296,"{0: 11, 1: 3, 2: 8, 3: 3, 4: 5}",0
4,False,"{'a': 0.06, 'e': 0.9509900498999999}",20,0,-73.43483856811802,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
5,False,"{'a': 0.06, 'e': 0.941480149401}",20,1,-124.88997350221948,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 2}",1
6,False,"{'a': 0.06, 'e': 0.9320653479069899}",25,0,-53.34540283049317,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.06, 'e': 0.9227446944279201}",30,0,-214.84251651530448,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
8,False,"{'a': 0.06, 'e': 0.9135172474836408}",25,0,-142.20765291343525,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.06, 'e': 0.9043820750088044}",25,0,-105.09557961077833,"{0: 11, 1: 6, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.06, 'e': 0.8953382542587164}",20,0,-119.04436386251861,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.06, 'e': 0.8863848717161292}",30,0,-126.44323951008855,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.06, 'e': 0.8775210229989678}",20,0,-85.87313619530084,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.06, 'e': 0.8687458127689782}",20,0,-161.07401709133268,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
14,False,"{'a': 0.06, 'e': 0.8600583546412884}",30,6,-109.5124906018038,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 2}",1
15,False,"{'a': 0.06, 'e': 0.8514577710948755}",25,0,-58.82208045184642,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
16,False,"{'a': 0.06, 'e': 0.8429431933839268}",25,0,-97.3284312376204,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.06, 'e': 0.8345137614500875}",25,0,-139.6749372982245,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.06, 'e': 0.8261686238355866}",25,0,-110.32563137538106,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.06, 'e': 0.8179069375972308}",20,0,-89.46901011906525,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
20,False,"{'a': 0.06, 'e': 0.8097278682212584}",20,0,-201.61863964713524,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
21,False,"{'a': 0.06, 'e': 0.8016305895390459}",20,9,7.863959096143479,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.06, 'e': 0.7936142836436554}",20,0,-179.41614728566134,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
23,False,"{'a': 0.06, 'e': 0.7856781408072188}",35,0,-51.115311514641604,"{0: 27, 1: 6, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.06, 'e': 0.7778213593991467}",20,8,-67.60002981866407,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
25,False,"{'a': 0.06, 'e': 0.7700431458051551}",25,0,-112.90845704853379,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
26,False,"{'a': 0.06, 'e': 0.7623427143471035}",25,10,-29.21258166512369,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.06, 'e': 0.7547192872036326}",20,0,-30.413459715546395,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
28,False,"{'a': 0.06, 'e': 0.7471720943315961}",20,0,-106.73051122369021,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
29,False,"{'a': 0.06, 'e': 0.7397003733882802}",20,0,-57.49059004231029,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.06, 'e': 0.7323033696543975}",20,0,-58.70034567495551,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
31,False,"{'a': 0.06, 'e': 0.7249803359578534}",25,0,-155.4977625735657,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
32,False,"{'a': 0.06, 'e': 0.7177305325982749}",25,0,-102.7622092828735,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.06, 'e': 0.7105532272722921}",30,0,-135.26950677999426,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
34,False,"{'a': 0.06, 'e': 0.7034476949995692}",30,0,-121.38509998309891,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
35,False,"{'a': 0.06, 'e': 0.6964132180495735}",25,12,-184.6734866379118,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 4}",1
36,False,"{'a': 0.06, 'e': 0.6894490858690777}",30,0,-145.34682097190344,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
37,False,"{'a': 0.06, 'e': 0.682554595010387}",20,6,-33.96249292776224,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.06, 'e': 0.6757290490602831}",25,0,-73.29053842047813,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.06, 'e': 0.6689717585696803}",30,0,-46.588159385860294,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
40,False,"{'a': 0.06, 'e': 0.6622820409839835}",25,0,-28.56780441601871,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
41,False,"{'a': 0.06, 'e': 0.6556592205741436}",20,1,-122.0932452426629,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 2}",1
42,False,"{'a': 0.06, 'e': 0.6491026283684022}",20,0,2.8381942468595525,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
43,False,"{'a': 0.06, 'e': 0.6426116020847181}",25,8,-89.90667879116552,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 1}",1
44,False,"{'a': 0.06, 'e': 0.6361854860638709}",25,0,-80.32485323571454,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
45,False,"{'a': 0.06, 'e': 0.6298236312032323}",25,16,-1.0905519499300402,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.06, 'e': 0.6235253948912}",20,0,-13.241689359396064,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.06, 'e': 0.617290140942288}",20,10,-15.090345339748701,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.06, 'e': 0.611117239532865}",25,0,-96.21909558674703,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
49,False,"{'a': 0.06, 'e': 0.6050060671375364}",25,0,-46.85592596054132,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
50,False,"{'a': 0.06, 'e': 0.598956006466161}",25,0,-127.9416465463241,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
51,False,"{'a': 0.06, 'e': 0.5929664464014994}",20,0,-139.27486453159565,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
52,False,"{'a': 0.06, 'e': 0.5870367819374844}",25,0,-41.45816326588044,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
53,False,"{'a': 0.06, 'e': 0.5811664141181095}",25,0,-15.592316621752305,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.06, 'e': 0.5753547499769285}",20,0,-28.36557017003376,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.06, 'e': 0.5696012024771592}",25,0,3.9291689061155353,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
