trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.06, 'e': 0.9801986733067553}",20,0,-106.82380513831403,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.06, 'e': 0.9704455335485082}",25,0,-167.89534673725265,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.06, 'e': 0.9607894391523232}",20,0,-166.23964451287708,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.06, 'e': 0.951229424500714}",20,0,-58.128972511183754,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.06, 'e': 0.9417645335842487}",20,0,-54.36228865384996,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.06, 'e': 0.9323938199059483}",30,0,-103.54282223843913,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.06, 'e': 0.9231163463866358}",20,0,-40.25334526173396,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.06, 'e': 0.9139311852712282}",20,0,-178.01017416751995,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.06, 'e': 0.9048374180359595}",20,0,-118.24842220894207,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.06, 'e': 0.8958341352965282}",25,0,-132.98683693355585,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
11,False,"{'a': 0.06, 'e': 0.8869204367171575}",25,0,-155.1731290553603,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.06, 'e': 0.8780954309205613}",25,0,-220.19790189603793,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
13,False,"{'a': 0.06, 'e': 0.8693582353988059}",25,0,-155.19280864369205,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
14,False,"{'a': 0.06, 'e': 0.8607079764250578}",20,0,-100.57593596717626,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.06, 'e': 0.8521437889662113}",30,0,-147.55237198139432,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.06, 'e': 0.8436648165963837}",25,0,-55.080767993489616,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.06, 'e': 0.835270211411272}",25,0,-46.57539569334581,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.06, 'e': 0.8269591339433623}",20,0,-142.10811392856178,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.06, 'e': 0.8187307530779818}",25,0,-112.36241360342905,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.06, 'e': 0.8105842459701871}",30,0,-94.49177291342198,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.06, 'e': 0.8025187979624785}",20,0,-69.31016461688507,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.06, 'e': 0.794533602503334}",25,20,8.87432895315697,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.06, 'e': 0.7866278610665535}",25,0,-133.5769805986548,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
24,False,"{'a': 0.06, 'e': 0.7788007830714049}",20,0,-43.455321991967985,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.06, 'e': 0.7710515858035663}",20,0,-59.350421963181546,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.06, 'e': 0.7633794943368531}",30,0,-67.67459371083139,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.06, 'e': 0.7557837414557255}",30,0,-108.01524780399355,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
28,False,"{'a': 0.06, 'e': 0.7482635675785653}",20,0,-76.09989888337145,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.06, 'e': 0.7408182206817179}",30,7,-108.56714406662344,"{0: 15, 1: 4, 2: 1, 3: 1, 4: 2}",1
30,False,"{'a': 0.06, 'e': 0.7334469562242892}",30,0,-41.46509567982268,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",1
31,False,"{'a': 0.06, 'e': 0.7261490370736909}",30,0,-47.67790403484712,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
32,False,"{'a': 0.06, 'e': 0.7189237334319262}",20,0,-167.56209445343575,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
33,False,"{'a': 0.06, 'e': 0.7117703227626097}",30,6,-102.91629959777661,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 1}",1
34,False,"{'a': 0.06, 'e': 0.7046880897187134}",30,12,-157.71578183138243,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 3}",1
35,False,"{'a': 0.06, 'e': 0.697676326071031}",25,0,-17.26513927589187,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
36,False,"{'a': 0.06, 'e': 0.6907343306373547}",25,0,-64.5418671307622,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
37,False,"{'a': 0.06, 'e': 0.6838614092123558}",20,12,-120.85478200358456,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 3}",1
38,False,"{'a': 0.06, 'e': 0.6770568744981647}",20,7,-93.04099246379971,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
39,False,"{'a': 0.06, 'e': 0.6703200460356393}",30,21,2.2214180174417555,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.06, 'e': 0.6636502501363194}",20,0,-190.94356574633065,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
41,False,"{'a': 0.06, 'e': 0.6570468198150567}",25,0,-72.96163733825186,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.06, 'e': 0.6505090947233165}",20,0,-119.67368236762192,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.06, 'e': 0.6440364210831414}",20,11,-27.805766625131096,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 0}",1
44,False,"{'a': 0.06, 'e': 0.6376281516217733}",30,12,-38.587411625326226,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.06, 'e': 0.631283645506926}",20,0,-110.93287409303592,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
46,False,"{'a': 0.06, 'e': 0.6250022682827008}",25,0,-67.52999859726005,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
47,False,"{'a': 0.06, 'e': 0.6187833918061408}",20,0,-73.09623403894105,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.06, 'e': 0.6126263941844161}",20,8,-17.73521532752804,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.06, 'e': 0.6065306597126334}",30,0,-128.05337768030017,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
